window_start	window_end	n_CpGs	mean_meth_haplotype1	mean_meth_haplotype2	parental_label_haplotype1	parental_label_haplotype2	n_reads_haplotype1	n_reads_haplotype2
17600000	17601000	16	NaN	NaN	control_paternal_like	control_maternal_like	0.0	0.0
17601000	17602000	17	NaN	NaN	control_paternal_like	control_maternal_like	0.0	0.0
17602000	17603000	16	NaN	NaN	control_paternal_like	control_maternal_like	0.0	0.0
17603000	17604000	16	NaN	NaN	control_paternal_like	control_maternal_like	0.0	0.0
17604000	17605000	18	NaN	NaN	control_paternal_like	control_maternal_like	0.0	0.0
17605000	17606000	12	NaN	NaN	control_paternal_like	control_maternal_like	0.0	0.0
17606000	17607000	18	NaN	NaN	control_paternal_like	control_maternal_like	0.0	0.0
17607000	17608000	16	NaN	NaN	control_paternal_like	control_maternal_like	0.0	0.0
17608000	17609000	16	NaN	NaN	control_paternal_like	control_maternal_like	0.0	0.0
17609000	17610000	15	NaN	NaN	control_paternal_like	control_maternal_like	0.0	0.0
17610000	17611000	15	NaN	NaN	control_paternal_like	control_maternal_like	0.0	0.0
17611000	17612000	17	NaN	NaN	control_paternal_like	control_maternal_like	0.0	0.0
17612000	17613000	18	NaN	NaN	control_paternal_like	control_maternal_like	0.0	0.0
17613000	17614000	15	NaN	NaN	control_paternal_like	control_maternal_like	0.0	0.0
17614000	17615000	14	NaN	NaN	control_paternal_like	control_maternal_like	0.0	0.0
17615000	17616000	19	NaN	NaN	control_paternal_like	control_maternal_like	0.0	0.0
17616000	17617000	13	NaN	NaN	control_paternal_like	control_maternal_like	0.0	0.0
17617000	17618000	17	NaN	NaN	control_paternal_like	control_maternal_like	0.0	0.0
17618000	17619000	16	NaN	NaN	control_paternal_like	control_maternal_like	0.0	0.0
17619000	17620000	16	NaN	NaN	control_paternal_like	control_maternal_like	0.0	0.0
17620000	17621000	15	NaN	NaN	control_paternal_like	control_maternal_like	0.0	0.0
17621000	17622000	19	NaN	NaN	control_paternal_like	control_maternal_like	0.0	0.0
17622000	17623000	23	NaN	NaN	control_paternal_like	control_maternal_like	0.0	0.0
17623000	17624000	16	NaN	NaN	control_paternal_like	control_maternal_like	0.0	0.0
17624000	17625000	16	NaN	NaN	control_paternal_like	control_maternal_like	0.0	0.0
17625000	17626000	15	NaN	0.7777777777777778	control_paternal_like	control_maternal_like	0.0	36.0
17626000	17627000	15	NaN	0.8518518518518519	control_paternal_like	control_maternal_like	0.0	54.0
17627000	17628000	16	NaN	0.8625	control_paternal_like	control_maternal_like	0.0	80.0
17628000	17629000	16	NaN	0.95	control_paternal_like	control_maternal_like	0.0	80.0
17629000	17630000	24	NaN	0.5277666666666667	control_paternal_like	control_maternal_like	0.0	180.0
17630000	17631000	16	0.9402985074626866	0.8322097902097902	control_paternal_like	control_maternal_like	67.0	143.0
17631000	17632000	16	0.9479375	0.8465	control_paternal_like	control_maternal_like	96.0	176.0
17632000	17633000	16	0.9259074074074073	0.9205648535564853	control_paternal_like	control_maternal_like	108.0	239.0
17633000	17634000	18	0.9682222222222222	0.8705488505747127	control_paternal_like	control_maternal_like	126.0	348.0
17634000	17635000	15	0.7999333333333333	0.8140666666666665	control_paternal_like	control_maternal_like	105.0	285.0
17635000	17636000	14	0.9770992366412213	0.9138630952380954	control_paternal_like	control_maternal_like	131.0	336.0
17636000	17637000	15	0.9866666666666667	0.8557946210268949	control_paternal_like	control_maternal_like	150.0	409.0
17637000	17638000	16	0.89375	0.845476821192053	control_paternal_like	control_maternal_like	160.0	453.0
17638000	17639000	16	0.9067066666666669	0.8681875000000001	control_paternal_like	control_maternal_like	150.0	448.0
17639000	17640000	17	0.9476569767441861	0.9135822222222223	control_paternal_like	control_maternal_like	172.0	450.0
17640000	17641000	16	0.876537037037037	0.8560625000000001	control_paternal_like	control_maternal_like	162.0	416.0
17641000	17642000	14	0.9769461538461538	0.94058934169279	control_paternal_like	control_maternal_like	130.0	319.0
17642000	17643000	16	0.8490566037735849	0.8905808219178083	control_paternal_like	control_maternal_like	159.0	365.0
17643000	17644000	14	0.9696742424242424	0.9246578947368419	control_paternal_like	control_maternal_like	132.0	304.0
17644000	17645000	16	0.9270833333333334	0.8781250000000002	control_paternal_like	control_maternal_like	96.0	304.0
17645000	17646000	16	1.0	0.7784863813229572	control_paternal_like	control_maternal_like	101.0	257.0
17646000	17647000	16	0.8957499999999999	0.8556874999999999	control_paternal_like	control_maternal_like	96.0	256.0
17647000	17648000	18	0.7878787878787878	0.7170796812749004	control_paternal_like	control_maternal_like	33.0	251.0
17648000	17649000	13	NaN	0.8724803921568628	control_paternal_like	control_maternal_like	0.0	102.0
17649000	17650000	18	NaN	0.9573617021276595	control_paternal_like	control_maternal_like	0.0	94.0
17650000	17651000	18	NaN	0.8333333333333334	control_paternal_like	control_maternal_like	0.0	72.0
17651000	17652000	16	NaN	NaN	control_paternal_like	control_maternal_like	0.0	8.0
17652000	17653000	12	NaN	NaN	control_paternal_like	control_maternal_like	0.0	0.0
17653000	17654000	2	NaN	NaN	control_paternal_like	control_maternal_like	0.0	0.0
17654000	17655000	17	NaN	NaN	control_paternal_like	control_maternal_like	0.0	0.0
17655000	17656000	13	NaN	NaN	control_paternal_like	control_maternal_like	0.0	0.0
17656000	17657000	10	NaN	NaN	control_paternal_like	control_maternal_like	0.0	0.0
17657000	17658000	0	NaN	NaN	control_paternal_like	control_maternal_like	0.0	0.0
17658000	17659000	0	NaN	NaN	control_paternal_like	control_maternal_like	0.0	0.0
17659000	17660000	0	NaN	NaN	control_paternal_like	control_maternal_like	0.0	0.0
17660000	17661000	0	NaN	NaN	control_paternal_like	control_maternal_like	0.0	0.0
17661000	17662000	0	NaN	NaN	control_paternal_like	control_maternal_like	0.0	0.0
17662000	17663000	0	NaN	NaN	control_paternal_like	control_maternal_like	0.0	0.0
17663000	17664000	0	NaN	NaN	control_paternal_like	control_maternal_like	0.0	0.0
17664000	17665000	0	NaN	NaN	control_paternal_like	control_maternal_like	0.0	0.0
17665000	17666000	0	NaN	NaN	control_paternal_like	control_maternal_like	0.0	0.0
17666000	17667000	0	NaN	NaN	control_paternal_like	control_maternal_like	0.0	0.0
17667000	17668000	0	NaN	NaN	control_paternal_like	control_maternal_like	0.0	0.0
